名称,id,今收,增幅,增比,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
冠福股份(002102),sz002102,4.63,+0.04,+0.87%,4.61,19.09万手,4.70,5.05,9.38万手,8858.39万,-7.65%,78.34亿,64.23,0.05,26.34亿,4.59,1.13%,4.60,"
                        4.13",9.71万手,2.18%,0.26,121.95亿,2.36,1.96,16.92亿
广博股份(002103),sz002103,9.45,--,0.00%,--,--,--,10.40,--,--,--,30.77亿,45.55,0.16,5.49亿,9.45,--,--,"
                        8.50",--,--,--,51.90亿,2.95,3.20,3.26亿
恒宝股份(002104),sz002104,8.63,+0.10,+1.17%,8.50,31.57万手,8.84,9.38,14.05万手,2.71亿,9.48%,48.84亿,35.59,0.18,7.12亿,8.53,5.58%,8.42,"
                        7.68",17.52万手,4.92%,3.10,61.45亿,3.49,2.47,5.66亿
信隆健康(002105),sz002105,6.09,+0.09,+1.50%,6.05,2.26万手,6.13,6.60,8313手,1375.66万,-45.65%,22.44亿,38.27,0.12,3.69亿,6.00,0.61%,5.96,"
                        5.40",1.43万手,2.83%,0.21,22.44亿,4.26,1.43,3.69亿
莱宝高科(002106),sz002106,8.18,+0.28,+3.54%,7.95,9.95万手,8.28,8.69,4.16万手,8098.18万,-30.37%,57.55亿,45.15,0.14,7.06亿,7.90,1.41%,7.94,"
                        7.11",5.79万手,4.30%,0.47,57.74亿,1.57,5.22,7.04亿
沃华医药(002107),sz002107,11.05,+0.16,+1.47%,10.85,9004手,11.08,11.98,4257手,990.31万,-41.46%,38.59亿,48.82,0.17,3.61亿,10.89,0.26%,10.82,"
                        9.80",4747手,2.39%,0.49,39.86亿,7.24,1.53,3.49亿
沧州明珠(002108),sz002108,,,,,,,,,,,,,,,,,,,,,,,,,
兴化股份(002109),sz002109,7.16,+0.44,+6.55%,6.75,13.34万手,7.20,7.39,5.83万手,9340.98万,-48.64%,15.04亿,29.10,0.18,7.02亿,6.72,6.35%,6.74,"
                        6.05",7.51万手,6.85%,2.89,50.26亿,1.54,4.64,2.10亿
三钢闽光(002110),sz002110,19.09,--,0.00%,--,--,--,21.00,--,--,--,189.11亿,7.94,1.80,13.74亿,19.09,--,--,"
                        17.18",--,--,--,262.22亿,2.76,6.93,9.91亿
威海广泰(002111),sz002111,12.54,+0.40,+3.29%,12.14,4.07万手,12.59,13.35,1.59万手,5022.39万,-27.68%,35.70亿,22.55,0.42,3.82亿,12.14,1.43%,12.14,"
                        10.93",2.48万手,3.71%,1.04,47.88亿,1.74,7.21,2.85亿
三变科技(002112),sz002112,10.10,+0.05,+0.50%,10.09,2.42万手,10.23,11.06,1.41万手,2450.55万,-9.68%,18.45亿,--,-0.27,2.02亿,10.05,1.33%,10.01,"
                        9.05",1.01万手,2.19%,0.25,20.36亿,4.52,2.24,1.83亿
天润数娱(002113),sz002113,9.83,--,0.00%,--,--,--,10.81,--,--,--,46.54亿,329.36,0.03,9.02亿,9.83,--,--,"
                        8.85",--,--,--,88.63亿,7.58,1.30,4.73亿
罗平锌电(002114),sz002114,15.48,-0.05,-0.32%,15.44,3.18万手,15.53,17.08,1.72万手,4889.51万,-75.24%,50.06亿,79.00,0.15,3.23亿,15.53,0.98%,15.32,"
                        13.98",1.46万手,1.35%,0.37,50.06亿,2.79,5.54,3.23亿
三维通信(002115),sz002115,8.42,+0.16,+1.94%,8.33,5.54万手,8.46,9.09,2.69万手,4634.96万,-69.49%,29.04亿,165.93,0.05,5.54亿,8.26,1.61%,8.26,"
                        7.43",2.85万手,2.42%,0.21,46.64亿,3.80,2.21,3.45亿
中国海诚(002116),sz002116,9.50,+0.16,+1.71%,9.38,2.95万手,9.50,10.27,1.41万手,2780.69万,27.84%,39.48亿,24.53,0.29,4.18亿,9.34,0.71%,9.33,"
                        8.41",1.54万手,1.82%,0.79,39.67亿,3.27,2.91,4.16亿
东港股份(002117),sz002117,15.70,+0.25,+1.62%,15.45,4.88万手,16.04,17.00,2.25万手,7714.71万,23.13%,57.10亿,24.61,0.64,3.64亿,15.45,1.34%,15.45,"
                        13.91",2.64万手,3.82%,2.55,57.11亿,3.77,4.17,3.64亿
紫鑫药业(002118),sz002118,8.93,+0.30,+3.48%,8.68,45.82万手,9.10,9.49,20.75万手,4.08亿,17.40%,91.57亿,53.98,0.12,12.81亿,8.63,4.47%,8.63,"
                        7.77",25.07万手,5.45%,2.92,114.37亿,2.93,3.05,10.25亿
康强电子(002119),sz002119,17.65,+0.54,+3.16%,17.13,1.54万手,17.69,18.82,5402手,2684.88万,-50.83%,35.64亿,56.86,0.31,2.06亿,17.11,0.76%,17.13,"
                        15.40",9995手,3.27%,0.42,36.39亿,4.92,3.59,2.02亿
韵达股份(002120),sz002120,50.00,+0.98,+2.00%,49.13,7735手,50.00,53.92,3058手,3791.29万,-84.75%,48.72亿,38.81,0.97,12.17亿,49.02,0.79%,48.32,"
                        44.12",4677手,3.43%,0.14,608.63亿,12.66,3.95,9744.12万
科陆电子(002121),sz002121,8.59,--,0.00%,--,--,--,9.45,--,--,--,63.14亿,26.37,0.33,14.08亿,8.59,--,--,"
                        7.73",--,--,--,120.96亿,2.51,3.42,7.35亿
天马股份(002122),sz002122,8.49,--,0.00%,--,--,--,9.34,--,--,--,93.69亿,202.19,0.03,11.88亿,8.49,--,--,"
                        7.64",--,--,--,100.86亿,2.24,3.80,11.04亿
梦网集团(002123),sz002123,11.22,+0.32,+2.94%,11.04,11.60万手,11.25,11.99,5.22万手,1.28亿,-41.92%,59.33亿,34.30,0.25,8.62亿,10.90,2.19%,10.91,"
                        9.81",6.37万手,3.12%,1.74,96.67亿,1.90,5.90,5.29亿
天邦股份(002124),sz002124,8.54,-0.06,-0.70%,8.60,3.37万手,8.63,9.46,1.76万手,2880.32万,37.63%,45.01亿,22.51,0.28,7.73亿,8.60,0.64%,8.48,"
                        7.74",1.62万手,1.74%,0.11,66.02亿,2.19,3.89,5.27亿
湘潭电化(002125),sz002125,9.31,+0.09,+0.98%,9.28,1.99万手,9.39,10.14,8747手,1853.97万,-18.16%,24.11亿,68.21,0.14,3.46亿,9.22,0.77%,9.21,"
                        8.30",1.12万手,1.95%,0.25,32.18亿,2.92,3.19,2.59亿
银轮股份(002126),sz002126,9.28,+0.26,+2.88%,9.04,21.79万手,9.35,9.92,9.92万手,2.00亿,-41.26%,56.57亿,23.21,0.30,8.01亿,9.02,3.57%,9.00,"
                        8.12",11.87万手,3.88%,1.62,74.34亿,2.22,4.18,6.10亿
南极电商(002127),sz002127,15.36,+0.09,+0.59%,15.28,12.05万手,15.54,16.80,5.80万手,1.84亿,-6.64%,148.71亿,77.60,0.16,16.37亿,15.27,1.24%,15.04,"
                        13.74",6.24万手,3.27%,0.68,251.38亿,13.29,1.16,9.68亿
露天煤业(002128),sz002128,10.09,--,0.00%,--,--,--,11.10,--,--,--,164.91亿,10.31,0.73,16.34亿,10.09,--,--,"
                        9.08",--,--,--,164.91亿,1.60,6.31,16.34亿
中环股份(002129),sz002129,10.36,+0.46,+4.65%,9.99,120.82万手,10.45,10.89,50.50万手,12.39亿,-48.45%,273.94亿,45.35,0.17,26.44亿,9.90,4.57%,9.93,"
                        8.91",70.32万手,5.25%,2.55,273.94亿,2.34,4.42,26.44亿
沃尔核材(002130),sz002130,,,,,,,,,,,,,,,,,,,,,,,,,
利欧股份(002131),sz002131,2.82,-0.02,-0.70%,2.84,70.68万手,2.87,3.12,44.02万手,2.00亿,8.59%,96.60亿,26.54,0.08,55.88亿,2.84,2.06%,2.80,"
                        2.56",26.67万手,2.46%,8.16,157.58亿,2.06,1.37,34.25亿
恒星科技(002132),sz002132,3.72,+0.12,+3.33%,3.62,14.00万手,3.85,3.96,6.09万手,5239.76万,9.84%,38.15亿,35.02,0.08,12.57亿,3.60,1.37%,3.61,"
                        3.24",7.92万手,6.67%,0.84,46.74亿,1.65,2.25,10.26亿
广宇集团(002133),sz002133,4.37,+0.05,+1.16%,4.32,5.09万手,4.38,4.75,2.44万手,2204.72万,-20.49%,27.74亿,19.68,0.17,7.74亿,4.32,0.80%,4.29,"
                        3.89",2.65万手,2.08%,0.14,33.83亿,1.17,3.73,6.35亿
*ST普林(002134),sz002134,8.72,-0.04,-0.46%,8.76,2.27万手,8.88,9.20,1.12万手,1972.82万,-30.25%,21.44亿,--,-0.01,2.46亿,8.76,0.92%,8.57,"
                        8.32",1.16万手,3.54%,0.10,21.44亿,5.07,1.72,2.46亿
东南网架(002135),sz002135,6.60,+0.13,+2.01%,6.61,4.51万手,6.77,7.12,2.05万手,3004.87万,-12.99%,44.30亿,59.97,0.08,10.34亿,6.47,0.67%,6.54,"
                        5.82",2.46万手,3.55%,0.67,68.27亿,1.77,3.74,6.71亿
安纳达(002136),sz002136,,,,,,,,,,,,,,,,,,,,,,,,,
麦达数字(002137),sz002137,12.21,+1.11,+10.00%,11.66,92.10万手,12.21,12.21,49.20万手,11.05亿,100.00%,35.49亿,86.84,0.11,5.79亿,11.10,31.68%,11.56,"
                        9.99",42.90万手,5.86%,12.23,70.74亿,4.21,2.90,2.91亿
顺络电子(002138),sz002138,17.11,+0.88,+5.42%,16.30,14.06万手,17.30,17.85,6.57万手,2.38亿,12.10%,109.89亿,40.94,0.42,8.17亿,16.23,2.19%,16.30,"
                        14.61",7.48万手,6.16%,1.95,139.72亿,3.49,4.90,6.42亿
拓邦股份(002139),sz002139,11.44,+0.45,+4.09%,11.08,34.95万手,11.56,12.09,15.61万手,3.95亿,-38.44%,58.29亿,37.03,0.31,6.80亿,10.99,6.86%,11.00,"
                        9.89",19.34万手,5.10%,2.23,77.78亿,4.01,2.85,5.10亿
东华科技(002140),sz002140,9.05,+0.09,+1.00%,8.99,4.41万手,9.07,9.86,2.25万手,3934.55万,-59.60%,39.81亿,30.85,0.22,4.46亿,8.96,1.00%,8.77,"
                        8.06",2.16万手,3.35%,1.31,40.37亿,1.91,4.74,4.40亿
贤丰控股(002141),sz002141,6.44,+0.29,+4.72%,6.17,10.10万手,6.54,6.77,4.76万手,6429.20万,0.02%,41.00亿,946.28,0.01,11.35亿,6.15,1.59%,6.13,"
                        5.54",5.34万手,6.67%,0.32,73.07亿,5.60,1.15,6.37亿
宁波银行(002142),sz002142,,,,,,,,,,,,,,,,,,,,,,,,,
印纪传媒(002143),sz002143,12.09,--,0.00%,--,--,--,13.30,--,--,--,203.80亿,38.33,0.24,17.70亿,12.09,--,--,"
                        10.88",--,--,--,213.97亿,8.33,1.45,16.86亿
宏达高科(002144),sz002144,13.22,+0.05,+0.38%,13.18,8494手,13.25,14.49,3615手,1119.94万,-83.76%,17.92亿,24.20,0.41,1.77亿,13.17,0.63%,13.08,"
                        11.85",4878手,1.29%,0.17,23.37亿,1.40,9.45,1.36亿
中核钛白(002145),sz002145,5.24,+0.01,+0.19%,5.23,9.10万手,5.28,5.75,4.61万手,4776.35万,-34.07%,57.00亿,21.47,0.24,15.92亿,5.23,0.84%,5.23,"
                        4.71",4.49万手,0.96%,0.24,83.41亿,2.78,1.88,10.88亿
荣盛发展(002146),sz002146,10.02,-0.18,-1.76%,10.09,50.52万手,10.20,11.22,28.68万手,5.09亿,19.28%,389.81亿,11.71,0.64,43.48亿,10.20,1.30%,9.98,"
                        9.18",21.84万手,2.16%,2.30,435.69亿,1.76,5.68,38.90亿
新光圆成(002147),sz002147,,,,,,,,,,,,,,,,,,,,,,,,,
北纬科技(002148),sz002148,8.60,+0.26,+3.12%,8.48,20.07万手,8.65,9.17,8.61万手,1.71亿,-37.17%,38.14亿,33.02,0.20,5.67亿,8.34,4.52%,8.38,"
                        7.51",11.45万手,3.24%,2.10,48.79亿,4.14,2.08,4.44亿
西部材料(002149),sz002149,9.10,+0.30,+3.41%,8.80,8.92万手,9.17,9.68,4.01万手,8063.61万,11.71%,38.71亿,81.33,0.08,4.25亿,8.80,2.10%,8.73,"
                        7.92",4.91万手,5.00%,3.17,38.71亿,2.20,4.13,4.25亿
通润装备(002150),sz002150,,,,,,,,,,,,,,,,,,,,,,,,,
北斗星通(002151),sz002151,31.14,+0.85,+2.81%,30.40,26.63万手,31.35,33.32,12.28万手,8.24亿,21.83%,79.22亿,158.13,0.15,5.13亿,30.29,10.47%,30.30,"
                        27.26",14.34万手,3.47%,8.16,159.82亿,3.70,8.41,2.54亿
广电运通(002152),sz002152,7.14,+0.15,+2.15%,7.02,19.52万手,7.17,7.69,8.77万手,1.39亿,-2.13%,139.57亿,19.76,0.27,24.29亿,6.99,1.00%,7.02,"
                        6.29",10.74万手,2.15%,3.35,173.42亿,2.04,3.50,19.55亿
石基信息(002153),sz002153,26.83,+1.43,+5.63%,25.44,14.89万手,27.21,27.94,5.90万手,3.92亿,-80.48%,129.98亿,77.09,0.26,10.67亿,25.40,3.07%,25.40,"
                        22.86",8.99万手,7.13%,2.43,286.22亿,5.53,4.85,4.84亿
报喜鸟(002154),sz002154,3.02,--,0.00%,3.01,5.88万手,3.04,3.32,3.56万手,1779.64万,-13.21%,32.28亿,--,-0.03,12.63亿,3.02,0.55%,3.01,"
                        2.72",2.33万手,0.99%,0.13,38.15亿,1.46,2.07,10.69亿
湖南黄金(002155),sz002155,8.95,--,0.00%,8.86,13.94万手,8.97,9.85,7.49万手,1.24亿,-3.73%,95.44亿,32.23,0.21,12.02亿,8.95,1.31%,8.86,"
                        8.05",6.45万手,1.23%,0.87,107.58亿,2.38,3.76,10.66亿
通富微电(002156),sz002156,12.40,+0.57,+4.82%,11.74,41.89万手,12.49,13.01,18.88万手,5.09亿,-19.87%,120.58亿,86.04,0.13,11.54亿,11.83,4.31%,11.66,"
                        10.65",23.02万手,7.02%,3.05,143.06亿,3.00,4.14,9.72亿
正邦科技(002157),sz002157,4.32,-0.11,-2.48%,4.43,36.59万手,4.43,4.87,20.32万手,1.59亿,-2.81%,92.42亿,18.52,0.17,23.34亿,4.43,1.71%,4.28,"
                        3.99",16.27万手,3.39%,0.56,100.82亿,1.62,2.67,21.39亿
汉钟精机(002158),sz002158,11.94,+0.38,+3.29%,11.57,13.33万手,12.25,12.72,6.22万手,1.58亿,57.25%,63.33亿,35.49,0.25,5.30亿,11.56,2.51%,11.54,"
                        10.40",7.11万手,6.14%,1.69,63.33亿,3.22,3.71,5.30亿
三特索道(002159),sz002159,18.25,+0.29,+1.61%,17.87,1.05万手,18.43,19.76,5163手,1901.64万,69.99%,25.29亿,460.00,0.04,1.39亿,17.96,0.75%,17.87,"
                        16.16",5291手,3.12%,0.49,25.31亿,3.06,5.96,1.39亿
常铝股份(002160),sz002160,5.91,+0.01,+0.17%,5.93,5.46万手,5.96,6.49,3.60万手,3225.91万,-8.39%,27.88亿,29.06,0.15,7.24亿,5.90,1.16%,5.87,"
                        5.31",1.86万手,1.53%,0.91,42.80亿,1.33,4.45,4.72亿
远望谷(002161),sz002161,6.75,--,0.00%,--,--,--,7.43,--,--,--,47.13亿,--,-0.04,7.40亿,6.75,--,--,"
                        6.08",--,--,--,49.93亿,3.16,2.14,6.98亿
悦心健康(002162),sz002162,4.40,+0.03,+0.69%,4.42,2.00万手,4.42,4.81,9203手,878.02万,-23.56%,37.49亿,186.61,0.02,8.56亿,4.37,0.23%,4.37,"
                        3.93",1.08万手,1.14%,0.12,37.64亿,4.30,1.02,8.52亿
中航三鑫(002163),sz002163,7.64,--,0.00%,--,--,--,8.40,--,--,--,61.38亿,--,-0.06,8.04亿,7.64,--,--,"
                        6.88",--,--,--,61.39亿,8.75,0.87,8.03亿
宁波东力(002164),sz002164,8.15,-0.07,-0.85%,8.19,8.21万手,8.19,9.04,5.07万手,6621.95万,45.00%,33.77亿,62.90,0.10,6.99亿,8.22,1.98%,7.97,"
                        7.40",3.13万手,2.68%,1.16,57.00亿,1.72,4.75,4.14亿
红宝丽(002165),sz002165,5.15,+0.02,+0.39%,5.14,3.21万手,5.17,5.64,1.70万手,1652.77万,-34.65%,27.17亿,42.51,0.09,6.02亿,5.13,0.61%,5.12,"
                        4.62",1.51万手,0.97%,0.63,31.01亿,1.98,2.60,5.28亿
莱茵生物(002166),sz002166,10.32,+0.05,+0.49%,10.26,4.43万手,10.35,11.30,2.34万手,4554.97万,-29.23%,36.02亿,37.61,0.21,4.37亿,10.27,1.27%,10.20,"
                        9.24",2.08万手,1.46%,0.73,45.13亿,4.83,2.14,3.49亿
东方锆业(002167),sz002167,9.10,+0.02,+0.22%,9.07,7.81万手,9.25,9.99,3.84万手,7133.25万,27.16%,44.45亿,201.09,0.03,6.21亿,9.08,1.60%,9.02,"
                        8.17",3.97万手,2.53%,0.30,56.51亿,5.16,1.76,4.89亿
深圳惠程(002168),sz002168,13.76,--,0.00%,--,--,--,15.14,--,--,--,105.41亿,--,-0.11,8.21亿,13.76,--,--,"
                        12.38",--,--,--,112.91亿,8.21,1.68,7.66亿
智光电气(002169),sz002169,4.95,+0.11,+2.27%,4.86,6.07万手,4.96,5.32,2.87万手,2974.97万,-57.00%,32.64亿,35.27,0.11,7.88亿,4.84,0.92%,4.82,"
                        4.36",3.20万手,2.89%,2.22,39.00亿,1.43,3.47,6.59亿
芭田股份(002170),sz002170,5.29,-0.02,-0.38%,5.35,2.09万手,5.35,5.84,1.16万手,1108.23万,15.75%,36.09亿,191.47,0.02,8.90亿,5.31,0.31%,5.25,"
                        4.78",9350手,1.88%,0.16,47.08亿,2.31,2.29,6.82亿
楚江新材(002171),sz002171,6.77,+0.09,+1.35%,6.70,7.15万手,6.82,7.35,3.69万手,4822.68万,-13.45%,69.56亿,20.63,0.25,10.69亿,6.68,0.70%,6.66,"
                        6.01",3.46万手,2.40%,1.24,72.39亿,2.17,3.12,10.28亿
澳洋科技(002172),sz002172,5.54,+0.06,+1.09%,5.50,2.94万手,5.58,6.03,1.50万手,1626.50万,-44.98%,30.97亿,17.92,0.23,7.35亿,5.48,0.53%,5.50,"
                        4.93",1.44万手,1.46%,0.46,40.74亿,2.86,1.93,5.59亿
创新医疗(002173),sz002173,13.47,-0.21,-1.54%,13.21,3.98万手,13.59,15.05,2.26万手,5311.15万,-27.80%,27.32亿,48.14,0.21,4.56亿,13.68,1.96%,13.02,"
                        12.31",1.71万手,4.17%,2.63,61.42亿,1.71,7.89,2.03亿
游族网络(002174),sz002174,22.00,+0.30,+1.38%,21.50,13.11万手,22.22,23.87,6.37万手,2.85亿,41.30%,126.92亿,31.91,0.53,8.88亿,21.70,2.27%,21.33,"
                        19.53",6.74万手,4.10%,2.76,195.46亿,5.98,3.68,5.77亿
东方网络(002175),sz002175,7.13,-0.15,-2.06%,7.28,44.39万手,7.29,8.01,23.34万手,3.16亿,-2.76%,37.80亿,82.23,0.07,7.54亿,7.28,8.37%,7.00,"
                        6.55",21.06万手,3.98%,6.77,53.74亿,3.99,1.79,5.30亿
江特电机(002176),sz002176,11.30,+0.15,+1.35%,11.26,35.72万手,11.43,12.26,18.17万手,4.03亿,25.62%,156.02亿,59.11,0.14,14.69亿,11.15,2.59%,11.11,"
                        10.04",17.55万手,2.87%,1.84,166.02亿,4.23,2.67,13.81亿
御银股份(002177),sz002177,4.93,+0.09,+1.86%,4.91,7.76万手,4.96,5.32,3.64万手,3812.82万,-39.44%,29.72亿,222.80,0.02,7.61亿,4.84,1.29%,4.87,"
                        4.36",4.11万手,1.86%,0.45,37.53亿,2.22,2.22,6.03亿
延华智能(002178),sz002178,7.84,+0.16,+2.08%,7.68,48.68万手,8.05,8.45,22.71万手,3.84亿,22.99%,47.59亿,--,-0.03,7.16亿,7.68,8.02%,7.67,"
                        6.91",25.97万手,4.95%,6.10,56.14亿,5.07,1.55,6.07亿
中航光电(002179),sz002179,43.30,+2.45,+6.00%,41.05,9.79万手,43.40,44.93,3.79万手,4.16亿,-35.06%,338.81亿,41.50,1.04,7.91亿,40.85,1.25%,41.02,"
                        36.77",6.00万手,5.83%,2.27,342.49亿,7.00,6.18,7.82亿
纳思达(002180),sz002180,27.32,+0.71,+2.67%,26.60,3.12万手,27.37,29.27,1.20万手,8470.04万,-68.38%,187.35亿,--,-0.50,10.64亿,26.61,0.46%,26.60,"
                        23.95",1.92万手,2.89%,0.93,290.57亿,23.25,1.18,6.86亿
粤传媒(002181),sz002181,4.38,+0.06,+1.39%,4.33,2.63万手,4.40,4.75,9113手,1145.83万,-44.32%,49.68亿,--,-0.05,11.61亿,4.32,0.23%,4.31,"
                        3.89",1.71万手,2.08%,0.11,50.85亿,1.36,3.21,11.34亿
云海金属(002182),sz002182,7.45,+0.04,+0.54%,7.45,6.79万手,7.48,8.15,3.72万手,5039.11万,-48.13%,33.58亿,26.79,0.21,6.46亿,7.41,1.51%,7.37,"
                        6.67",3.07万手,1.48%,0.92,48.16亿,3.15,2.37,4.51亿
怡亚通(002183),sz002183,7.36,+0.12,+1.66%,7.24,23.22万手,7.37,7.96,8.34万手,1.70亿,-49.66%,155.82亿,24.57,0.22,21.19亿,7.24,1.10%,7.20,"
                        6.52",14.87万手,2.35%,0.37,155.98亿,2.69,2.74,21.17亿
海得控制(002184),sz002184,19.03,+1.23,+6.91%,18.00,35.37万手,19.58,19.58,17.55万手,6.63亿,48.80%,25.86亿,445.26,0.03,2.43亿,17.80,26.03%,17.80,"
                        16.02",17.81万手,10.00%,14.09,46.20亿,4.21,4.52,1.36亿
华天科技(002185),sz002185,7.69,+0.34,+4.63%,7.35,63.17万手,7.72,8.09,26.47万手,4.77亿,-4.43%,163.83亿,33.10,0.23,21.31亿,7.35,2.96%,7.33,"
                        6.62",36.69万手,5.31%,4.76,163.88亿,3.06,2.51,21.30亿
全聚德(002186),sz002186,15.46,+0.07,+0.45%,15.44,6275手,15.50,16.93,2886手,967.33万,-59.16%,47.30亿,35.07,0.44,3.08亿,15.39,0.21%,15.35,"
                        13.85",3389手,0.97%,0.28,47.69亿,3.16,4.89,3.06亿
广百股份(002187),sz002187,9.75,+0.06,+0.62%,9.70,1.36万手,9.76,10.66,6493手,1318.51万,-53.35%,33.39亿,17.34,0.42,3.42亿,9.69,0.40%,9.68,"
                        8.72",7065手,0.83%,0.59,33.39亿,1.28,7.64,3.42亿
ST巴士(002188),sz002188,6.49,-0.06,-0.92%,6.48,3.88万手,6.53,6.88,2.25万手,2512.77万,17.78%,11.97亿,13.78,0.35,2.96亿,6.55,2.10%,6.44,"
                        6.22",1.63万手,1.37%,1.97,19.19亿,0.89,7.27,1.84亿
利达光电(002189),sz002189,16.82,+0.41,+2.50%,16.58,6.00万手,16.84,18.05,2.68万手,9973.60万,-65.84%,33.42亿,154.04,0.11,1.99亿,16.41,3.02%,16.25,"
                        14.77",3.32万手,3.60%,1.61,33.51亿,6.04,2.78,1.99亿
成飞集成(002190),sz002190,23.95,+0.24,+1.01%,23.88,7.09万手,24.29,26.08,3.64万手,1.70亿,-23.87%,82.67亿,10590.62,0.00,3.59亿,23.71,2.05%,23.74,"
                        21.34",3.45万手,2.32%,1.88,85.92亿,4.69,5.10,3.45亿
劲嘉股份(002191),sz002191,8.53,--,0.00%,8.59,8.35万手,8.60,9.38,4.16万手,7125.94万,-18.65%,111.11亿,21.96,0.33,14.95亿,8.53,0.64%,8.50,"
                        7.68",4.18万手,1.17%,0.76,127.51亿,2.38,3.59,13.03亿
融捷股份(002192),sz002192,29.18,+2.65,+9.99%,26.89,10.98万手,29.18,29.18,6.84万手,3.12亿,100.00%,55.59亿,3330.20,0.01,2.60亿,26.53,5.77%,26.81,"
                        23.88",4.14万手,8.93%,2.53,75.77亿,10.31,2.83,1.90亿
如意集团(002193),sz002193,16.65,+0.07,+0.42%,16.55,1.42万手,16.67,18.24,5561手,2355.07万,56.77%,38.49亿,61.43,0.27,2.62亿,16.58,0.62%,16.43,"
                        14.92",8659手,1.45%,0.77,43.58亿,1.72,9.68,2.31亿
武汉凡谷(002194),sz002194,9.66,+0.41,+4.43%,9.53,23.32万手,9.95,10.18,9.78万手,2.23亿,24.27%,51.23亿,--,-0.65,5.65亿,9.25,4.40%,9.30,"
                        8.33",13.54万手,7.03%,2.35,54.55亿,3.34,2.89,5.30亿
二三四五(002195),sz002195,5.73,+0.11,+1.96%,5.66,37.28万手,5.74,6.18,18.90万手,2.12亿,-46.22%,179.62亿,20.62,0.22,34.16亿,5.62,1.19%,5.58,"
                        5.06",18.38万手,2.85%,2.60,195.72亿,2.57,2.23,31.35亿
方正电机(002196),sz002196,9.13,+0.15,+1.67%,8.99,3.28万手,9.14,9.88,1.45万手,2975.97万,-22.84%,26.52亿,35.75,0.19,4.51亿,8.98,1.13%,8.99,"
                        8.08",1.83万手,1.67%,0.45,41.17亿,1.69,5.40,2.90亿
证通电子(002197),sz002197,10.30,+0.21,+2.08%,10.20,5.88万手,10.38,11.10,2.72万手,6002.89万,-4.47%,44.76亿,171.58,0.05,5.15亿,10.09,1.35%,10.05,"
                        9.08",3.16万手,3.27%,1.04,53.06亿,1.94,5.30,4.35亿
嘉应制药(002198),sz002198,10.42,--,0.00%,--,--,--,11.46,--,--,--,48.49亿,288.56,0.03,5.08亿,10.42,--,--,"
                        9.38",--,--,--,52.88亿,5.41,1.93,4.65亿
东晶电子(002199),sz002199,13.88,+0.06,+0.43%,13.79,4296手,13.88,15.20,2333手,591.95万,-45.51%,30.62亿,--,-0.02,2.43亿,13.82,0.19%,13.65,"
                        12.44",1962手,1.66%,0.07,33.79亿,7.45,1.86,2.21亿
云投生态(002200),sz002200,10.09,-0.30,-2.89%,10.15,4.39万手,10.30,11.43,2.45万手,4456.13万,54.87%,14.21亿,--,-0.21,1.84亿,10.39,3.12%,10.00,"
                        9.35",1.95万手,2.89%,1.20,18.58亿,2.29,4.41,1.41亿
九鼎新材(002201),sz002201,9.70,+0.07,+0.73%,9.61,1.49万手,9.78,10.59,7091手,1439.17万,37.93%,30.30亿,448.70,0.02,3.32亿,9.63,0.48%,9.61,"
                        8.67",7763手,1.77%,0.18,32.25亿,3.63,2.67,3.12亿
金风科技(002202),sz002202,18.12,+0.35,+1.97%,17.77,25.66万手,18.18,19.55,11.28万手,4.62亿,13.58%,508.22亿,21.10,0.86,35.56亿,17.77,0.91%,17.64,"
                        15.99",14.37万手,3.04%,1.83,644.38亿,3.04,5.96,28.05亿
海亮股份(002203),sz002203,8.67,+0.02,+0.23%,8.66,4.17万手,8.73,9.51,2.14万手,3607.80万,32.66%,128.07亿,19.17,0.34,16.96亿,8.65,0.28%,8.61,"
                        7.78",2.03万手,1.39%,0.44,147.01亿,2.91,2.98,14.77亿
大连重工(002204),sz002204,4.14,-0.06,-1.43%,4.18,8.72万手,4.24,4.62,5.40万手,3631.47万,23.52%,79.96亿,560.44,0.01,19.31亿,4.20,0.45%,4.14,"
                        3.78",3.32万手,2.38%,0.45,79.96亿,1.22,3.41,19.31亿
国统股份(002205),sz002205,17.25,+0.17,+1.00%,17.01,2.30万手,17.38,18.79,1.17万手,3951.68万,-42.75%,20.04亿,537.00,0.02,1.16亿,17.08,1.98%,16.98,"
                        15.37",1.13万手,2.34%,0.49,20.04亿,2.18,7.91,1.16亿
海利得(002206),sz002206,5.10,+0.06,+1.19%,5.07,3.24万手,5.11,5.54,1.18万手,1649.35万,-32.88%,48.45亿,19.88,0.26,12.23亿,5.04,0.34%,5.06,"
                        4.54",2.06万手,0.99%,0.75,62.37亿,2.18,2.34,9.50亿
*ST准油(002207),sz002207,7.79,+0.08,+1.04%,7.78,2.06万手,7.82,8.10,1.05万手,1599.10万,25.61%,17.16亿,31.29,0.19,2.39亿,7.71,0.93%,7.71,"
                        7.32",1.01万手,1.43%,0.13,18.63亿,4.78,1.63,2.20亿
