名称,id,今收,增幅,增比,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
华媒控股(000607),sz000607,5.40,+0.10,+1.89%,5.31,2.80万手,5.46,5.83,1.35万手,1512.52万,-34.00%,47.78亿,45.61,0.09,10.18亿,5.30,0.32%,5.31,"
                        4.77",1.45万手,2.83%,0.14,54.96亿,3.00,1.80,8.85亿
阳光股份(000608),sz000608,6.67,-0.16,-2.34%,6.76,5.81万手,6.79,7.51,3.74万手,3881.58万,56.25%,50.01亿,32.83,0.20,7.50亿,6.83,0.77%,6.64,"
                        6.15",2.07万手,2.20%,0.69,50.02亿,1.68,3.98,7.50亿
中迪投资(000609),sz000609,9.17,+0.03,+0.33%,9.08,1.88万手,9.20,10.05,9854手,1720.86万,24.78%,24.69亿,16.78,0.41,2.99亿,9.14,0.70%,9.06,"
                        8.23",8985手,1.53%,0.52,27.44亿,1.76,5.21,2.69亿
西安旅游(000610),sz000610,9.92,+0.11,+1.12%,9.82,1.72万手,9.94,10.79,9325手,1698.11万,-10.20%,23.33亿,--,-0.08,2.37亿,9.81,0.73%,9.82,"
                        8.83",7839手,1.22%,0.13,23.49亿,3.03,3.28,2.35亿
天首发展(000611),sz000611,7.21,+0.01,+0.14%,7.10,1.62万手,7.29,7.92,8793手,1175.94万,-46.20%,23.02亿,--,-0.03,3.22亿,7.20,0.51%,7.10,"
                        6.48",7448手,2.64%,0.61,23.20亿,4.39,1.64,3.19亿
焦作万方(000612),sz000612,7.36,-0.17,-2.26%,7.57,8.09万手,7.57,8.28,4.85万手,5959.28万,29.38%,73.54亿,24.15,0.23,11.92亿,7.53,0.81%,7.30,"
                        6.78",3.24万手,3.59%,0.37,87.75亿,1.83,4.03,9.99亿
大东海A(000613),sz000613,10.63,+0.61,+6.09%,9.99,40.57万手,11.02,11.02,24.67万手,4.32亿,91.30%,28.24亿,1353.75,0.01,3.64亿,10.02,15.27%,9.99,"
                        9.02",15.89万手,10.28%,13.54,38.70亿,50.18,0.21,2.66亿
京汉股份(000615),sz000615,10.40,+0.02,+0.19%,10.33,40.06万手,10.59,11.42,21.57万手,4.16亿,36.51%,36.85亿,26.35,0.39,7.84亿,10.38,11.31%,10.21,"
                        9.34",18.49万手,3.66%,1.67,81.49亿,4.18,2.49,3.54亿
海航投资(000616),sz000616,3.42,--,0.00%,--,--,--,3.76,--,--,--,48.91亿,819.57,0.00,14.30亿,3.42,--,--,"
                        3.08",--,--,--,48.91亿,1.24,2.76,14.30亿
中油资本(000617),sz000617,13.41,+0.01,+0.07%,13.46,8687手,13.50,14.74,4698手,1164.31万,-27.77%,15.42亿,18.18,0.55,90.30亿,13.40,0.76%,13.35,"
                        12.06",3988手,1.12%,0.19,1210.93亿,1.72,7.79,1.15亿
吉林化工(000618),sz000618,,--,%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"
                        --",--,--,--,--,--,--,--
海螺型材(000619),sz000619,7.19,+0.08,+1.13%,7.13,2.92万手,7.19,7.82,1.41万手,2064.94万,41.59%,25.88亿,286.60,0.03,3.60亿,7.11,0.81%,6.99,"
                        6.40",1.51万手,2.81%,0.49,25.88亿,1.06,6.78,3.60亿
